sentimen llm,tweet_with_tags
netral,Sejak org mau dengerin tanpa masalah. <Wajah Menangis Gembira><Wajah Menangis Gembira>
netral,Sejak perang iran sm israel. <Wajah Menangis Gembira>
netral,"tiba"" dangdut anj<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>"
netral,"Pernah jdi lalu paporit,, gk terasa sekarang dah kepala tiga<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>"
negatif,"Saya menyukai musik ,jadi setiap kerja selalu di barengi dgn musik, tdk terlalu  memperhatikan syair nya, <Wajah Menangis Gembira>"
positif,"Terasa sakit, kalau mengingat masa indah saat itu, pas dengarin lagu ini, enth apa yg masih dipendam, menyesal iya tpi untuk mengulangi, mustahil, coba untuk menerima kenyataan bila orang yg kitaa sayang, udh bahagia sama orang lain<Wajah Menangis>"
netral,<Wajah Berpikir>ga bisa mikir nie
positif,komen2nya ada yg dh 1th ada berapa bulan qu baru denger lgu ini lg inget2 dulu2 & sekarang ada hapi ada sedih ada inget2  yg dulu<Wajah Menangis Gembira>
positif,Lagunya enak tapi sayang GK bisa di download <Wajah Berpikir>
netral,Lagu kenanganku pertama kali ketemu dgn suamiku..<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>
positif,Skrg munet ekonomi bukan mumet percintaan <Tertawa Terpingkal-Pingkal>
negatif,Kerja jd lebih rilex.<Wajah Tersenyum Dengan Mata Tersenyum>
netral,<Tangan Merapat Berdoa>mf dpaksa hdr krna mseh de ktinglan rindu dn sayg<Wajah Tersenyum Dengan Mata Tersenyum>
netral,Galau🥲..ingat suami yg sudah tiada<Wajah Menangis Kencang>
negatif,Lagunya emang mewakili isi hati jamn dulu <Hati Merah>
positif,"Napak tilas 25 taun k belakang bnyk kenangan yg tdk bsa terlupakan<Wajah Menangis>
Serasa msh muda heee pdhal dah kpala 4 ni<Wajah Menangis Gembira>"
netral,<Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin> 24:54
negatif,Kamu yang buat hatiku kangen<Wajah Menangis>
negatif,Saya sudah emak2 tapi masih suka banget dengar lagu2 yang mewakili hati masa mudaku<Hati Merah><Hati Merah>
negatif,2025 masih suka dengerin lagu2 ini...keinget pas waktu sekolah dulu...<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>
negatif,🥰 Serasa Remaja Lg Nih Single Mom Ada Titipan Dr Allah SWT Jagoan2 Yatim Sayang MmNya <Wajah Tersenyum Dengan Mulut Terbuka><Wajah Tersenyum Dengan Mata Hati><Wajah Tersenyum Dengan Mulut Terbuka> Udah Kepala 5 <Otot Lengan Kuat> Semangaat Selalu <Jempol Ke Atas><Bunga Mawar>💕<Bunga Mawar><Wajah Meniup Ciuman><Wajah Meniup Ciuman><Wajah Meniup Ciuman>
negatif,Luar biasa <Hati Merah>
negatif,Walau tidak lagi muda namun masih suka menikmati lagu-lagu yang dinyanyikan mewakili perasaan pendengarnya. <Hati Merah><Hati Merah>
netral,J<Wajah Tersenyum Dengan Mata Tersenyum>i rian 9i<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>jo8 0 oi.  <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>B
negatif,Asik mantap<Hati Merah>keren
netral,Yang dengerin lagu2 ini sambil ngingetin Mantan acungkan tangan <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>??
netral,Ingat suami sy yg telah pergi ke Sang Penciptanya<Wajah Menangis Kencang><Wajah Menangis Kencang>
negatif,Banyak banget yang komen kerana suaranya merdu enak di dengar ya<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>🥳🥳🥳🥳🥳🥳🥳🥳🥳<Jari Menyilang><Jari Menyilang><Jempol Ke Atas>🤲
negatif,Betul lagunya Inda sekali <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>🥰🥰🥰🥰🥰
positif,Apa cuma saya di sini bapa bapa yg masih galau karena hal hal romantis <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>
negatif,"Gw suka lagu ini bikin gw kangen balik ke Indonesia,gw rindu jalan jalan d kota bandung sambil dgr musik indie,ya Tuhanku kapan AQ bisa balik indo 
Setiap pagi saat kerja selalu dgr lagu indie biar AQ semangat kerja biar serasa d indo <Wajah Menangis><Wajah Menangis><Wajah Menangis>"
negatif,<Otot Lengan Kuat>🏻<Otot Lengan Kuat>🏻<Otot Lengan Kuat>🏻<Otot Lengan Kuat>🏻🥹🥹🥹🥹🥹<Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan><Tengkorak Dan Tulang Silang>️<Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam>🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮<Wajah Mual><Wajah Mual><Wajah Mual>
negatif,"Sehat""kalian di manapun berada yg lagi berjuang semoga sukses dan di permudah segala urusan kalian srmua<Hati Merah>"
negatif,Enak banget sama lagu nya sambil tidur siang <Wajah Tersenyum Dengan Mata Tersenyum>
negatif,Enak yeyak pas tidurnya<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>
negatif,𝙤𝙩𝙬 𝙟𝙖𝙙𝙞 𝙛𝙖𝙫𝙤𝙧𝙞𝙩 🗿<Hati Merah>
negatif,wow bagus <Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah>
positif,Jadi nangis sumpah<Wajah Menangis Kencang><Wajah Menangis Kencang>
negatif,cover firasatnya bagus banget...<Wajah Tersenyum Dengan Mata Hati>
negatif,Lagi nangis dengar lagu ini enak banget <Wajah Tersenyum Dengan Mata Tersenyum>
positif,kamu jangan katain aku babi dikonten ku <Wajah Menangis Kencang>
positif,"Pertanyaan yang selalu aku pertanyakan sekarang, kenapa aku ada didunia ini? 



Capek, dengan segala gebrakan baru tiap hari<Wajah Lega>

Cuman bisa tiap malem sebelum tidur nangis ketiduran bangun"" Sama lagi<Wajah Lega>"
netral,Di akun aku banyak kompilasi lagu tanpa iklan <Wajah Tersenyum Dengan Mata Tersenyum>
negatif,Lagu nya pas buat menemani tidur saat lelah pulang kerja<Wajah Tersenyum Mulut Terbuka Dan Mata Tersenyum>
netral,Di malam yg hening dengerin lagu sambil menemani hati yg lagi rindu rindunya.🎉🎉<Wajah Menangis><Wajah Menangis><Wajah Menangis>
netral,"Next, semoga laguku bisa masuk playlist bang <Tangan Merapat Berdoa>"
negatif,"KU INGIN KAU JADI MILIK KU TEMANI DIRI KU,,SEUMUR HIDUP KU DAN KU KAN BERJANJI TAK AKAN SAKITI KAU YG KU CINTA SEPENUH HATI<Hati Merah><Hati Merah><Hati Merah>(ANUGERAH TERINDAH )THE BEST POKOK NY<Hati Merah><Hati Merah>"
positif,Pas sekali lagi ini karna sya lgi galau kan seseorang<Hati Merah><Hati Merah><Hati Merah>
positif,Lagu-lagu mental yang bikin down <Wajah Menangis Gembira> gawat tuh yang punya gangguan psikolog makin down aja hmmm
negatif,Memang enak soalnya lagu hits semua mana aku tiap hari pake lagu ini buat kerja<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>
negatif,sama kak<Wajah Tersenyum Mulut Terbuka Dan Mata Tersenyum><Mengangkat Kedua Tangan>
netral,"Yang cover Sedia Aku Sebelum Hujan penyanyi-nya siapa ya? Aku cari ini officialnya tp ngga nemu² <Wajah Menangis Kencang> Kemarin diputer di Family Mart, langsung jatuh cinta sm versi ini 🥹🩵💙💛 Admin, please jawab 🥹<Tepuk Tangan>"
negatif,Lagu2 melow serasa muda <Wajah Menangis Gembira>
negatif,OMG suara y bagus bangett <Hati Merah><Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>
netral,plis pengen ku dowlod buat ofline pas tidur<Wajah Menangis>
positif,Lelah banget hidup kaya gini tapi harus tetap bersyukur iklas senyum harus terlihat bahagia walaupun takdir nya seperti ini<Wajah Menangis><Wajah Tersenyum Dengan Mata Tersenyum>
netral,Lagi didengarkan pagi ini 📍<Hati Merah>
netral,Mampir di bulan Februari  2026 Milenial gen kumpul siniiiii<Wajah Tersenyum Dengan Mata Tersenyum><Hati Merah>🌺
negatif,Lagu nya enak bgt di denger <Wajah Mencium Dengan Mata Tertutup>
negatif,Sempurna <Hati Merah>
positif,"Samawa kak aku lagi galau,suamiku ketahuan chatan sm cewe lain<Wajah Menangis>lagunya bikin hati tenang"
negatif,"Hari ini senang, hati gembira
Terima kasih, telah menghiburku
Kamu luar biasa, bikin aku ceria
Terima kasih telah menghiburku <Wajah Tersenyum Dengan Mata Tersenyum>"
positif,lupa karena kau dan aku<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>
positif,"Gara-gara lagu ini gw nangis dimobil, buat yg blg msh mending dimobil tp ini mobil temen :) gw minjem doang buat berangkat kerja, dan cape diserbu tekanan kerjaan barusan bgt ga pernah setertekan ini lalu ditambah lagu melow ini dan moodswing karna pms jd menjadilah air mata ini keluar <Wajah Menangis><Wajah Menangis Kencang><Wajah Menangis Kencang>"
positif,kalau bohong jangan kepanjangan kalimatnya...jadi ketahuan bohong nya....<Wajah Menangis Gembira>
negatif,<Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>
netral,34:01 kisah sempurna after yg karaoke doang<Wajah Lelah Lesu>
positif,Asek bng gw jdi nangis dengar nya<Hati Merah>
negatif,Makasih ka bisa karaokean <Wajah Tersenyum Dengan Mata Tersenyum>
netral,​ @Nurilcreative yoi ka<Wajah Menangis Gembira>
netral,"💗💗🌸 ♥♥🌸🌸💗💟<Wajah Tersenyum Mulut Terbuka Dan Mata Tersenyum>💸💸💗💗 <Wajah Tersenyum Mulut Terbuka Dan Mata Tersenyum><Wajah Tersenyum Mulut Terbuka Dan Mata Tersenyum>💗💗🌸🌸   Allah menunjukkan kasih-Nya kepada kita dengan mengirimkan Anak-Nya Yesus Kristus, yang telah mati dan bangkit dari kematian untuk Beri kami hidup kekal. Dia juga berjanji untuk menyembuhkan tubuh Anda.  Jika Anda mengaku dengan mulut Anda Tuhan Yesus dan percaya dalam hati Anda bahwa Tuhan telah membangkitkan Dia dari antara orang mati Dia akan memberi Anda hidup yang kekal (lihat ke atas dan tanyakan padanya) 🌸🌸<Batu Permata Berlian><Batu Permata Berlian><Batu Permata Berlian><Batu Permata Berlian><Batu Permata Berlian><Batu Permata Berlian><Batu Permata Berlian><Batu Permata Berlian>✅✅✅✅🍀🍀🍀🍀🌸🌸"
netral,Siapa disini Kalau tau lagunya ikut nyanyi tapi kalu engga tau dengerin aja<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>
negatif,Enak di dengar pas lagi bersih bersih <Wajah Tersenyum Dengan Mata Hati>
netral,up lagu ane bang <Wajah Menyeringai Dengan Mata Tersenyum><Tangan Merapat Berdoa>🏼
netral,Min tolong adain fitur download<Tangan Merapat Berdoa>
negatif,Ter fubrab²<Wajah Menangis Kencang>
netral,Lelaki cadangan kak<Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>
negatif,<Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Menangis><Wajah Terperangah Terbuka><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>🎉<Wajah Menangis Gembira><Wajah Terperangah Terbuka><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>
positif,Lagu nya buat aku gabut mau ngapain<Wajah Menangis Gembira>
netral,Mau makan x mbak <Wajah Menangis Gembira>
netral,"<Wajah Terperangah Terbuka><Wajah Menangis>x, 🎉z <Wajah Menangis><Wajah Tersenyum Dengan Mata Tersenyum> x Factor<Wajah Menangis><Wajah Tersenyum Dengan Mata Tersenyum>"
negatif,Salut memang<Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>
netral,"Salam kenal Pak Abdi Suardin saya ini susah sekali tidur kalau sudah jam 3 sampai pagi tidak bisa lagi tidur kata dokter orang minset luar bisa..salam kenal dari Palembang Sumatera Selatan nama saya YANSEN.,<Wajah Tersenyum Dengan Mata Tersenyum>"
positif,"Ilmu saya lebi mengandung filosofi mendalam.
Kapan kita hrs jadi apa adanya ,dan kapan kita harus pake topeng tsb.
Karena banyak yg prilaku nya sopan dan rama namun kelakuanya seolah ingin menguasai dunia.
Jamaah haji pun menjadi korbanya.
Total 8.400 <Wajah Menangis Gembira>
Siapa lg ya,ehm mgkn jokowi"
positif,Sopan dan rama tau tau 8.400 jamaah haji batal brgkt gara2 yakut <Tertawa Terpingkal-Pingkal>
netral,"Thank,s ya Allah
Terimakasih mas
Syukron jazakalllahu Khairan mas
Barokallahufiik 🇮🇩✨<Berjabat Tangan><Tangan Merapat Berdoa>"
netral,Izin share pak<Tangan Merapat Berdoa>🏻
negatif,Bismilah <Wajah Tersenyum Dengan Mata Tersenyum> terimakasi moti fasi yg  luar biasa ma sa Allah
negatif,Terimakasih sebelumnya udah memberikan memotivasi hidup <Jempol Ke Atas>
positif,Mau rame harus pakek penonton bayaran<Wajah Menangis Gembira><Wajah Menangis Gembira>
negatif,Vidio yg keren.<Jempol Ke Atas>
negatif,Makasih pak abdi menginpirasi semonga perinsip ini menjadi kehidupan menjadi baik <Tangan Merapat Berdoa>
netral,4.25 respect<Hati Merah><Hati Merah><Hati Merah>
netral,"Assalamualaikum,betul kk semangat<Otot Lengan Kuat> ya kk bikin kontenya"
negatif,"Betul sahabatku, harus sopan dan ramah sama orang<Tangan Merapat Berdoa><Tangan Merapat Berdoa>"
negatif,berkelas adalah aura percaya diri mantap sekali motivasiny pakk<Jempol Ke Atas><Jempol Ke Atas>
negatif,Mksh ilmunya <Tepuk Tangan>🏻<Tepuk Tangan>🏻<Tepuk Tangan>🏻<Tepuk Tangan>🏻<Tepuk Tangan>🏻<Jempol Ke Atas>🏻
negatif,"Setuju, etika salah satu buat orang berhasil<Hati Merah>"
negatif,Video yang sangat bermanfaat pak tetap semangat <Hati Merah>️‍<Api><Hati Merah>️‍<Api><Hati Merah>️‍<Api>
netral,Hadir pak <Tangan Merapat Berdoa>
negatif,Betul kak.. Adab lebih tinggi daripada ilmu.. <Wajah Tersenyum Simpel><Tangan Merapat Berdoa>
netral,Terima kasih sebanyak banyaknya sdr atas motivasi dan edukasi yang sdr berikan selalu saya posting trik sdr..di sosial media sekali lagi terima kasih banyak sudah sekian tahun saya mengikuti sdr sampai detik ini <Hati Merah>
netral,Terimakasih atas motivasi..mas Ardi semoga sehat dan sukses selalu<Tangan Merapat Berdoa>
netral,26 ribu orang : <Wajah Tersenyum Dengan Kacamata Hitam>🆒
negatif,"Assalamu:allaikum Bang Abdi...
Trmksh Ats tayangan video Contennya..keren banget<Jempol Ke Atas> Salam Sukses Sehat sllu"
negatif,<Hati Merah>kereen. Salut..hormat bpk
negatif,Terima kasih pak<Wajah Agak Tersenyum>
negatif,Semoga allah membalas segala kebaik nya kang abdi<Hati Merah><Hati Merah>
negatif,Dr saya terpuruk 6 thn yg lalu ak selalu mencari ilmu dr kang Abdi skrng ak udah lebih baik aset ku dmn.. Selain mentor yg handal doa orang tua dan ingat allah<Hati Merah>
negatif,sukses selalu yaaa..tetap semangat dan bahagia selalu <Tangan Merapat Berdoa><Tangan Merapat Berdoa>
netral,"Terima kasih pak,semua bisa jadi masukan,terutama untuk diri sy pribadi,respect<Api>🫰"
negatif,Sehat selalu pk abdi Sang motivator <Wajah Tersenyum Dengan Mata Tersenyum>
negatif,Terima kasih yaaa..sehat dan bahagia selalu <Tangan Merapat Berdoa><Tangan Merapat Berdoa><Hati Merah>️<Hati Merah>️<Hati Merah>️
negatif,"Terima kasih Pk.Abdi 🎉<Hati Merah>
Sangat bermanfaat...<Tangan Merapat Berdoa>"
positif,"Gara2 saya menerapkan ini, jadi bencana, hbngan kluarga hancur <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>, tapi biarlah, daripada terus dimanfaatkan"
negatif,"Benar paparan anda ditambah lagi yang punya iman (kuat dasar agama nya) dia akan jujur/setia & amanah thd suami juga harta suami nya, iman & nalar, lengkap<Jempol Ke Atas>🏻"
netral,𝐀𝐠𝐫𝐞𝐞 𝐚𝐥𝐰𝐚𝐲𝐬 𝐩𝐨𝐬𝐢𝐭𝐢𝐯𝐞 𝐭𝐡𝐢𝐧𝐤𝐢𝐧𝐠... 〈<Wajah Tersenyum Malaikat>ノ  𝐧 𝐬𝐮𝐩𝐩𝐨𝐫𝐭 𝐭𝐫𝐮𝐬 𝐬𝐮𝐚𝐦𝐢 𝐝𝐧 𝐚𝐧𝐚𝐤𝟐 𝐭𝐞𝐫<Hati Merah>
negatif,"Pak Abdi ini seperti menemani perjalananku dari aku saat dibullyi  sampai aku seperti mau Menghilang dari dunia ini. 

Hingga aku bangkit dan sekarang setidaknya menjadi CEO menjadi role model banyak orang 

Bahkan para senior bisnis pun datang tanpa harus saya undang. 

Ditengah2 orang sukse senior saya paling junior dan mungkin bisa dibilang belum apa2 

Tapi setidaknya saya lebih baik dari kemarin 


Trimakasih pak abdi  saya masih ingat pertama kali menemukan video bapak disaat aku gelisah di atas laut dipinggir jembatan pas ham 02：00 malam hari , dan setelah itu saya juga menemukan  video  salah satu org juga terkenal. Yaitu inpak bersedekah , saat itu pula aku merasa aku g butuh apa2 lagi dan saldo yg ada di rekening saya berikan ke org yg benar2 membutuhkan.  

Alhamdulillah pagi hari jiwaku mulai tenang. Mulai ketemu org baru , ketemu relasi baru hingga prosesnya 8 tahun sudah kini aku lewati dan jadi diriku saat ini <Hati Merah><Hati Merah><Hati Merah>

 Semoga pak abdi sehat welafiat dunia akherat dapat kebaikan dari allah <Hati Merah>"
positif,nomor 5 yg paling sulit pak<Wajah Menangis>aku orang nya gak enakan jadi lebih mementingkan kebahagiaan orang lain daripada diri sendiri
negatif,Terima kasih abang amin <Tangan Merapat Berdoa><Tangan Merapat Berdoa><Tangan Merapat Berdoa><Jempol Ke Atas>🤲
netral,"Self reminder, thank u coach ! <Hati Merah>"
negatif,"SALAM SANTUN DARI MALANG JAWATIMUR PAK ABDI <Tangan Merapat Berdoa>
SUKSES TO CHANNEL NYA"
netral,Terima kasih Pa Abdi atas pencerahannya <Jempol Ke Atas><Api>
netral,"Assalamualaikum, terima kasih dari terpuruk bisa naik normal, dan bangkit kembali <Tangan Merapat Berdoa><Tangan Merapat Berdoa>"
positif,Benerr hidup di era yg toxic dan penuh drama<Wajah Menangis>
positif,"Izin bertanya, gimana cara menghadapi orang yg kita sopan sama dia, akantetapi orang tersebut malah se olah² lebih merendahkan kita?
Atau tidak balik respect sama kita?
Terimakasih <Tangan Merapat Berdoa>🏻"
negatif,"Alhamdulillah, terimakasih ilmunya pak ... <Hati Merah>🎉"
netral,​ @AbdiSuardin <Tangan Merapat Berdoa><Tangan Merapat Berdoa><Tangan Merapat Berdoa>
netral,Assallamuallaikumm Pa Abdi Suardin <Bunga Mawar><Wajah Menyeringai Dengan Mata Tersenyum> Bismillah <Jempol Ke Atas><Tangan Merapat Berdoa><Tangan Merapat Berdoa><Tangan Merapat Berdoa>
negatif,𝙋𝙧𝙞𝙣𝙨𝙞𝙥 𝙗𝙚𝙡𝙞𝙖𝙪 𝙨𝙖𝙣𝙜𝙖𝙩 luarbiasa<Tangan Merapat Berdoa>
negatif,terima kasih yaa <Tangan Merapat Berdoa> terima kasih juga sudah jadi sahabat abdi..<Hati Merah><Hati Merah><Hati Merah>
negatif,Trimakasih  pak abdi <Hati Merah>
negatif,Salam santun subuh <Hati Merah>
netral,<Tangan Merapat Berdoa>🏻<Tangan Merapat Berdoa>🏻<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Hati Merah>️🤍 terimakasih terimakasih terimakasih.
netral, @AbdiSuardin <Tangan Merapat Berdoa>🏻<Tangan Merapat Berdoa>🏻<Jempol Ke Atas><Jempol Ke Atas><Hati Merah>️🤍
negatif,Dulu masa2 kuliah selalu denger motivasi pak abdi biar tetap semangat. Skrng udh kerja msih denger pak abdi. Sehat selalu ya pak<Wajah Tersenyum Dengan Mata Tersenyum>
negatif,Pas banget yg sedang Saya rasa kan lebi baik diam..dari PDA berdepat TK ada artinya.... terimakasih bang saya Alhamdulillah suda damai karena selalu mendengar kan kata bijak Abang ssy suka 🎉🎉🎉<Nilai Seratus Sempurna> semoga sehat walafiat selalu amin.. terimakasih
netral,Ass berkelas kang Abdi<Tangan Merapat Berdoa><Tangan Merapat Berdoa><Otot Lengan Kuat>
negatif,"Terimakasih pak abdi suardin untuk pelajaran dan bimbingan nya,ilmu yang mahal yang tidak pernah di dapat dari sekolah, saya suka sekali dengan motivasi nya hingga saya suka nonton nya berulang ulang <Wajah Tersenyum Dengan Mata Tersenyum>🎉"
negatif,Amat membantu <Hati Merah>
netral,"Pesan dari seorang ibu untuk kedua buah hatinya, yg akhirnya menjadi pesan utk kamu semua <Hati Merah>. Semoga bermanfaat :)
.
Nasihat apa yang paling kamu ingat dari ibumu? Bisa share di kolom komen yah :) 


Thanks for watching, Please Subscribe for more inspirations .."
negatif,"Nasihat dari ibu saya, teruslah berusaha dan jangan pernah menyerah , jangan lupa berdoa ke pada sang pencipta, jangan dengarkan perkataan orang lain yang menghinamu/meremehkanmu karna ibu membesarkanmu dengam penuh kasih sayang dan perjuangan. Tapi sayangnya ibu saya sudah almarhumah, Cepat atau lambat semoga saya bisa ziarah ke makam nya... Amin<Hati Merah>"
netral,Ibu Ku Sudah Meninggal<Wajah Menangis>
negatif," @AimuzMusic  sabar,gua tau itu sakit<Wajah Kecewa Tapi Lega>"
negatif,"Pesan yg ibu ku berikan kepada ku adalah <Wajah Tersenyum Simpel>️
Jika ada orang lain yang menghina diri ku dan membuat hatiku sedih , ingatlah jangan membalas mereka dgn seperti yg mereka lakukan kepada mu tapi berikanlah mereka senyuman dan tidak usah memperdulikan apa kata orang lain kepada kita.<Wajah Tersenyum Dengan Mata Tersenyum>
Terimakasih"
positif,Jasmerah ( jangan sekali2 lupakan sejarah) betul gak tuh kata guru saya di pelajaran sejarah <Tertawa Terpingkal-Pingkal>
negatif,Miss merry terima kasih ya nasihat nya <Wajah Tersenyum Dengan Mata Tersenyum> <Hati Merah>
positif,"Sedih Miss Merry, krn saya tdk prnh bz mndptkan pesan dr ibu saya. <Wajah Termenung Sedih>"
negatif,Org tua saya selalu berpesan kpd saya...saya harus jujur..komitmen..dan jgn pernah menipu org lain...tetap berjuang pada impianmu anakku Tercinta...ibumu selalu berdoa untukmu <Tangan Merapat Berdoa><Tangan Merapat Berdoa><Tangan Merapat Berdoa><Tangan Merapat Berdoa><Tangan Merapat Berdoa>
negatif,"Ibu Merry Riana terima kasih sudah mau berbagi video ini
Ini sangat bermanfaat bagi saya.saya anggap ini pesan dari ibuku
Tidak ada pesan yang  saya ingat dari Ibu saya.
Ibu saya meninggal dri saya masih kecil
Sekali lagi Terima kasih
God bless you
Ibu Merry Riana Dan keluarga<Tangan Merapat Berdoa>"
netral,"pesan ibuku:
teruslah berbuat baik....<Tangan Isyarat Ok><Tangan Isyarat Ok>"
