,tweet emoji,sentimen llm,tweet_with_tags
311,Allah swt tdk mengajarkan umatnya perpihak kpd pemimpin seiman dan kafir. Justru hrs dimotivasi klu ada yg salah diingatkan bukan teriak disosmed seakan banjir itu krna murka mulutnya yg kasar. Nah ente itu belajar agama drmn aa.. 😠,negatif,Allah swt tdk mengajarkan umatnya perpihak kpd pemimpin seiman dan kafir. Justru hrs dimotivasi klu ada yg salah diingatkan bukan teriak disosmed seakan banjir itu krna murka mulutnya yg kasar. Nah ente itu belajar agama drmn aa.. <Wajah Marah>
312,Dohwa Dohwa Juda Dohwa Saemi Monmaap daku terpesona sama dohwa 😛,netral,Dohwa Dohwa Juda Dohwa Saemi Monmaap daku terpesona sama dohwa <Wajah Menjulurkan Lidah>
313,"t-tapiii ntar deketin cewe, rada gugup 😛",netral,"t-tapiii ntar deketin cewe, rada gugup <Wajah Menjulurkan Lidah>"
314,WEH BENER GREGET!!! YG CACING GEDE SUMPAH JIJIK BANHET 😛,negatif,WEH BENER GREGET!!! YG CACING GEDE SUMPAH JIJIK BANHET <Wajah Menjulurkan Lidah>
315,Main santuy banget mereka tuh hih 😛 kesal,negatif,Main santuy banget mereka tuh hih <Wajah Menjulurkan Lidah> kesal
316,"bangga bgt uwu 🙌, karna burung burungan adalah kunci biar gak gabut 😂",positif,"bangga bgt uwu <Mengangkat Kedua Tangan>, karna burung burungan adalah kunci biar gak gabut <Wajah Menangis Gembira>"
317,Aku yang sayang banget sama mama 😠 murka membaca ini,negatif,Aku yang sayang banget sama mama <Wajah Marah> murka membaca ini
318,jangan tertipu oleh muka 😠,negatif,jangan tertipu oleh muka <Wajah Marah>
319,"Dekat ig tengok punya happy dengan partner, tapi dekat twitter acah single. Weh sumpah jijik kau do,murah. 😠",negatif,"Dekat ig tengok punya happy dengan partner, tapi dekat twitter acah single. Weh sumpah jijik kau do,murah. <Wajah Marah>"
320,Keranda Tok Wan Terbang..terkejut aku dohhh..hujung2 citer ada hantu muncul depan camera..puiihhhh 😛,netral,Keranda Tok Wan Terbang..terkejut aku dohhh..hujung2 citer ada hantu muncul depan camera..puiihhhh <Wajah Menjulurkan Lidah>
321,"3rd win, and so proud of you guys, i hope its can make many people know and stan you, pokoknyaa tetep semangat, terus berjuang, kalian pasti bisa sukses lebih dari ini dan terus bikin fantasy 🇮🇩🔥 bangga btw follback yaaa",positif,"3rd win, and so proud of you guys, i hope its can make many people know and stan you, pokoknyaa tetep semangat, terus berjuang, kalian pasti bisa sukses lebih dari ini dan terus bikin fantasy 🇮🇩<Api> bangga btw follback yaaa"
322,"Kalau lu salah satu mutual gua atau liat twit ini, gua ga takut sama lu 😛, mau lu cewe kalau sikap lu gitu mines tetep gaada pantes2nya. Malu bego maluu",negatif,"Kalau lu salah satu mutual gua atau liat twit ini, gua ga takut sama lu <Wajah Menjulurkan Lidah>, mau lu cewe kalau sikap lu gitu mines tetep gaada pantes2nya. Malu bego maluu"
323,"beruntung banget. dia mau nerima kekurangan aku yang buanyak bgt, pasrah kl aku marah marah, bucin, perhatian, bisa jadi support system, baik, loyal, mudah bgt bikin aku senyum ato ketawa terus juga apa ya, pokoknya bangga aja sama dia 😊",positif,"beruntung banget. dia mau nerima kekurangan aku yang buanyak bgt, pasrah kl aku marah marah, bucin, perhatian, bisa jadi support system, baik, loyal, mudah bgt bikin aku senyum ato ketawa terus juga apa ya, pokoknya bangga aja sama dia <Wajah Tersenyum Dengan Mata Tersenyum>"
324,aku yang tertipu oleh dirimu 😛,negatif,aku yang tertipu oleh dirimu <Wajah Menjulurkan Lidah>
325,"Manusia produk revolusi mental, manusia gk beradab, setan pun mungkin muak liat kelakuan kalian!! 😠💣💔",negatif,"Manusia produk revolusi mental, manusia gk beradab, setan pun mungkin muak liat kelakuan kalian!! <Wajah Marah><Bom><Hati Patah>"
326,Ngeri kali abang senior ini. Jgn marahin adek aku ya bang 😛,netral,Ngeri kali abang senior ini. Jgn marahin adek aku ya bang <Wajah Menjulurkan Lidah>
327,"Ngeri banget si bang wkwk, minur air putih aja doyong HAHA 😛",netral,"Ngeri banget si bang wkwk, minur air putih aja doyong HAHA <Wajah Menjulurkan Lidah>"
328,Dulu ngeyel Kini rewel Heran saja dengan pembisiknya 😛,netral,Dulu ngeyel Kini rewel Heran saja dengan pembisiknya <Wajah Menjulurkan Lidah>
329,"abis nonton cloy, yg lain terpesona sama kapten ri gue sama kakaknya... gagah betul, wibawanya dapet sekali 😛",netral,"abis nonton cloy, yg lain terpesona sama kapten ri gue sama kakaknya... gagah betul, wibawanya dapet sekali <Wajah Menjulurkan Lidah>"
330,"Mulut yang mampu berkata-kata pun dah tak tahu nak kata apa. 😔 Sakit nya tu tak terkata. Sengsara nya tu tak terkata. Kecewa, sungguh kecewa. Rasa dah nak putus asa dengan semua ini. 💔",negatif,"Mulut yang mampu berkata-kata pun dah tak tahu nak kata apa. <Wajah Termenung Sedih> Sakit nya tu tak terkata. Sengsara nya tu tak terkata. Kecewa, sungguh kecewa. Rasa dah nak putus asa dengan semua ini. <Hati Patah>"
331,"Rapat bikin sengsara orang jadi bahan umpatan, hasil g ada 😠",negatif,"Rapat bikin sengsara orang jadi bahan umpatan, hasil g ada <Wajah Marah>"
332,Bgst aing sudah muak ajig nukararitu 😠,negatif,Bgst aing sudah muak ajig nukararitu <Wajah Marah>
333,ngantuk mulu heran kl pelajaran itu... *yaallah ampunilah dosa kami* 😛,netral,ngantuk mulu heran kl pelajaran itu... *yaallah ampunilah dosa kami* <Wajah Menjulurkan Lidah>
334,takut ngeliat duren. 😛,netral,takut ngeliat duren. <Wajah Menjulurkan Lidah>
335,"ya Allah astaghfirullah, jumat2 nda boleh hatespeech gitu riaaa wkwkwkwk bukannya nda suka apa gimana, sebenernya gue b aja sama dia (nda suka tapi ya nda benci juga), kadang suka kesel aja sama fans2nya di circle gue utamanya 😛",netral,"ya Allah astaghfirullah, jumat2 nda boleh hatespeech gitu riaaa wkwkwkwk bukannya nda suka apa gimana, sebenernya gue b aja sama dia (nda suka tapi ya nda benci juga), kadang suka kesel aja sama fans2nya di circle gue utamanya <Wajah Menjulurkan Lidah>"
336,Biar gua gk jijik sendiri wkwk 😛,positif,Biar gua gk jijik sendiri wkwk <Wajah Menjulurkan Lidah>
337,Dengan tulisan anda ini apakah anda merasa puas. Bijak dikit kenapa. 😛,netral,Dengan tulisan anda ini apakah anda merasa puas. Bijak dikit kenapa. <Wajah Menjulurkan Lidah>
338,"Pusing sih engga tp takut nya tetep kurang jelas, w minus ga pake silinder tetep jd 2 2 gitu tulisannya 😕",netral,"Pusing sih engga tp takut nya tetep kurang jelas, w minus ga pake silinder tetep jd 2 2 gitu tulisannya <Wajah Bingung>"
339,"izinkan saya carut,, BODO TERKEJUT AKU BANGANG BETUL YA ALLAH 😛",netral,"izinkan saya carut,, BODO TERKEJUT AKU BANGANG BETUL YA ALLAH <Wajah Menjulurkan Lidah>"
340,Ngeri amaat 😠,negatif,Ngeri amaat <Wajah Marah>
341,"Bro, lu cuman masa lalu jesya, please ga usah ganggu sya lagi 😠 Dia punya gua skrg, kalau lu baru nyesel skrg, makan tuh penyesalan krn sdah nyia nyiain sya Gua harap stop kirim mfs ga jelas kyk gini, gua juga kasian liat jesya risih seperti itu",negatif,"Bro, lu cuman masa lalu jesya, please ga usah ganggu sya lagi <Wajah Marah> Dia punya gua skrg, kalau lu baru nyesel skrg, makan tuh penyesalan krn sdah nyia nyiain sya Gua harap stop kirim mfs ga jelas kyk gini, gua juga kasian liat jesya risih seperti itu"
342,Aku kesal dengan doi 😠,negatif,Aku kesal dengan doi <Wajah Marah>
343,Peluk hati kecil yang penuh dendam ini 😠 Ajari tuk menghapus sebuah rasa benci 💔 Biarkan kasih lembutmu sentuh hatiku Ubah aku jadi buah hati yang dulu,negatif,Peluk hati kecil yang penuh dendam ini <Wajah Marah> Ajari tuk menghapus sebuah rasa benci <Hati Patah> Biarkan kasih lembutmu sentuh hatiku Ubah aku jadi buah hati yang dulu
344,Padahal menurut gw mbak itu universal loh bs dipake kl ga yakin sm status/usia yg disapa. dibanding tb2 manggil bu taunya yg dipanggil masi muda/blm nikah. Lagian ngapain si tersinggung anjir kl sama ama ART em km sp 😕,netral,Padahal menurut gw mbak itu universal loh bs dipake kl ga yakin sm status/usia yg disapa. dibanding tb2 manggil bu taunya yg dipanggil masi muda/blm nikah. Lagian ngapain si tersinggung anjir kl sama ama ART em km sp <Wajah Bingung>
345,Heran... rasanya pemprov DKI Jakarta sudah sangat sangat tanggap dalam merespon wabah bahkan jauh jika dibandingkan pusat terlalu menganggap remeh sejak awal. Tapi masih ada aja celah buat 😕,netral,Heran... rasanya pemprov DKI Jakarta sudah sangat sangat tanggap dalam merespon wabah bahkan jauh jika dibandingkan pusat terlalu menganggap remeh sejak awal. Tapi masih ada aja celah buat <Wajah Bingung>
346,"Tangis haru pecah diatas sana, sujud syukur diatas bibir kawah seketika dengan refleknya kami lakukan atas syukur kepada Allah SWT. Sunrise 4 agustus yg sangat indah, bahkan tidak pernah kami bayangkan akan seindah ini. 🌅🙏✨",positif,"Tangis haru pecah diatas sana, sujud syukur diatas bibir kawah seketika dengan refleknya kami lakukan atas syukur kepada Allah SWT. Sunrise 4 agustus yg sangat indah, bahkan tidak pernah kami bayangkan akan seindah ini. 🌅<Tangan Merapat Berdoa>✨"
347,Off akhirnya komen 😠 aargghh karna kesal,negatif,Off akhirnya komen <Wajah Marah> aargghh karna kesal
348,"excited 😛 dan kadang gugup juga , campur aduk deh semuannya",netral,"excited <Wajah Menjulurkan Lidah> dan kadang gugup juga , campur aduk deh semuannya"
349,Jijik! Najis! Ngapa lu 😠,negatif,Jijik! Najis! Ngapa lu <Wajah Marah>
350,"Apaan si mba, mba ini kenapa aku jg cewe tp ga tersinggung bahkan ga ngatai ""karna tau itutuh jokes"" 😛",netral,"Apaan si mba, mba ini kenapa aku jg cewe tp ga tersinggung bahkan ga ngatai ""karna tau itutuh jokes"" <Wajah Menjulurkan Lidah>"
351,Hidup ni kena kecewa dulu baru gembira. Githewww 😛,netral,Hidup ni kena kecewa dulu baru gembira. Githewww <Wajah Menjulurkan Lidah>
352,"Ya gitu nder, kalo berbuat baik jgn sampe mengharapkan balasan apalagi sama manusia, ntar kecewa 😔",negatif,"Ya gitu nder, kalo berbuat baik jgn sampe mengharapkan balasan apalagi sama manusia, ntar kecewa <Wajah Termenung Sedih>"
353,"Klo ada yg salah dari omongan beliau boleh d tegur,krna ilmu agama saya masih belum smpai utk mnterjemahkannya saya tdk berani utk menegur...jika bro tersinggung atau mungkin ada msalah dg narasinya boleh bro sndiri yg menegur,dan mungkin bro lebih paham dari saya 😕",netral,"Klo ada yg salah dari omongan beliau boleh d tegur,krna ilmu agama saya masih belum smpai utk mnterjemahkannya saya tdk berani utk menegur...jika bro tersinggung atau mungkin ada msalah dg narasinya boleh bro sndiri yg menegur,dan mungkin bro lebih paham dari saya <Wajah Bingung>"
354,aku lagi ngalaminnya saat ini kecewa banget sama org tua 😠,negatif,aku lagi ngalaminnya saat ini kecewa banget sama org tua <Wajah Marah>
355,"Kalau takut dipukul ombak, jangan berumah ditepi pantai. 😠",negatif,"Kalau takut dipukul ombak, jangan berumah ditepi pantai. <Wajah Marah>"
356,"Sok paling benar sendiri, benci bgt sama manusia jenis begini 😠",negatif,"Sok paling benar sendiri, benci bgt sama manusia jenis begini <Wajah Marah>"
357,Takut barang tu terselit virus 😛,netral,Takut barang tu terselit virus <Wajah Menjulurkan Lidah>
358,"Nah, ini juga senang kayaknya kalau ribut... 😛",netral,"Nah, ini juga senang kayaknya kalau ribut... <Wajah Menjulurkan Lidah>"
359,"bukan taknak cerita, tapi kalau cerita pun benda sama je so orang pun dah muak dengar so no worries i will take care of myself :)",netral,"bukan taknak cerita, tapi kalau cerita pun benda sama je so orang pun dah muak dengar so no worries i will take care of myself :)"
360,"Gegara film ini aku jadi gak benci exo .. lucu pas eunhyuk joget"" sama hyukjae pas masih trainer huhu 😛 pengen nonton lagi.. ada yang punya kah??",positif,"Gegara film ini aku jadi gak benci exo .. lucu pas eunhyuk joget"" sama hyukjae pas masih trainer huhu <Wajah Menjulurkan Lidah> pengen nonton lagi.. ada yang punya kah??"
361,"jangan la pakai gambar oppa hensem.. i dah berangan ""eh oppa mana likes my tweet niii""... I tak kecewa it's you tau.. i terkilan je sebab bukan oppa. 😔",negatif,"jangan la pakai gambar oppa hensem.. i dah berangan ""eh oppa mana likes my tweet niii""... I tak kecewa it's you tau.. i terkilan je sebab bukan oppa. <Wajah Termenung Sedih>"
362,"Ngirim lewat DM anjir ngeri bgt kan, udh gue suruh putusin aja. Alhamdulillah temen gue nurut. Karna temen gue udh bener muak. Soal nya si cowok ini tiap berantem pasti jln sama cewek lain. Nah ini udh puncak nya 😠💣💔",negatif,"Ngirim lewat DM anjir ngeri bgt kan, udh gue suruh putusin aja. Alhamdulillah temen gue nurut. Karna temen gue udh bener muak. Soal nya si cowok ini tiap berantem pasti jln sama cewek lain. Nah ini udh puncak nya <Wajah Marah><Bom><Hati Patah>"
363,"Kalo emang gak pernah ngapain gapapa nderr wajar kok kalo kadang sebulan gak mens, bisa karena hormon stress atau kegemukan dll. Kalo ngerasa insecure banget bisa check ke dokter, kalo malu lewat dokter praktek biasa bisa pakek halodoc. 😕",netral,"Kalo emang gak pernah ngapain gapapa nderr wajar kok kalo kadang sebulan gak mens, bisa karena hormon stress atau kegemukan dll. Kalo ngerasa insecure banget bisa check ke dokter, kalo malu lewat dokter praktek biasa bisa pakek halodoc. <Wajah Bingung>"
364,"Udah langsung lapor2 kang? Org skrg jarang bawa duit cash banyak, ngeri duit plastiknya aja... 😛",netral,"Udah langsung lapor2 kang? Org skrg jarang bawa duit cash banyak, ngeri duit plastiknya aja... <Wajah Menjulurkan Lidah>"
365,"Gak heran memang makananya aja binatang, kelakuannya persis binatang, semoga terkena penyakit yg menghinakan 😠",negatif,"Gak heran memang makananya aja binatang, kelakuannya persis binatang, semoga terkena penyakit yg menghinakan <Wajah Marah>"
366,wow 😊 senang sekali anda ngubah jadwal kereta.,positif,wow <Wajah Tersenyum Dengan Mata Tersenyum> senang sekali anda ngubah jadwal kereta.
367,ga terlalu. cuma agak risih aja. tapi gapapaaaa mereka lagi cari uang. kalo jualan kaya alat pembesar payudara baru deh sangat terganggu 😠💣,negatif,ga terlalu. cuma agak risih aja. tapi gapapaaaa mereka lagi cari uang. kalo jualan kaya alat pembesar payudara baru deh sangat terganggu <Wajah Marah><Bom>
368,"argh bahagia gila tiba"" crush call pukul 6 tadi , aww dia ckp sorry sbb dia tertido awal 😛",positif,"argh bahagia gila tiba"" crush call pukul 6 tadi , aww dia ckp sorry sbb dia tertido awal <Wajah Menjulurkan Lidah>"
369,"Tkut terpesona,, aw 😛",netral,"Tkut terpesona,, aw <Wajah Menjulurkan Lidah>"
370,"Naik danri dari ITC itu opsi pertama Li, tapi itu 1 jam sekali. Sedangkan gua udah 18.00 berangkatnya, jadi damri selanjutnya 19.00. Naik taksi gua ngeri macet di jalan ngebayangin pasti lagi padat banget. Kereta bandara itu on time, cuma jalan ke stasiunnya yang ass hole. 😠💣💔",negatif,"Naik danri dari ITC itu opsi pertama Li, tapi itu 1 jam sekali. Sedangkan gua udah 18.00 berangkatnya, jadi damri selanjutnya 19.00. Naik taksi gua ngeri macet di jalan ngebayangin pasti lagi padat banget. Kereta bandara itu on time, cuma jalan ke stasiunnya yang ass hole. <Wajah Marah><Bom><Hati Patah>"
371,"serba mentok pengen pencitraan rakyat udah muak pengen ngibul, bingung udah kebanyakan ngibul peken pamer2, gk ada yg bisa dipamerin para buzzer dan penjilat laknat sudah keabisan bahan yo wes pasrah ngomong keq gitu bae 😠💣💔",negatif,"serba mentok pengen pencitraan rakyat udah muak pengen ngibul, bingung udah kebanyakan ngibul peken pamer2, gk ada yg bisa dipamerin para buzzer dan penjilat laknat sudah keabisan bahan yo wes pasrah ngomong keq gitu bae <Wajah Marah><Bom><Hati Patah>"
372,Sedarlah lid org benci tengok muka kau tu 😠,negatif,Sedarlah lid org benci tengok muka kau tu <Wajah Marah>
373,Kadang jijik kadang seneng eohhh 😛,netral,Kadang jijik kadang seneng eohhh <Wajah Menjulurkan Lidah>
374,Sekitaran bikin muak saja 😛,negatif,Sekitaran bikin muak saja <Wajah Menjulurkan Lidah>
375,iyla bpmu adala suamiq HAHAHAH 😛,netral,iyla bpmu adala suamiq HAHAHAH <Wajah Menjulurkan Lidah>
376,Congrats. Sebenarnya semalam aku terkejut kau tido lewat 😛,netral,Congrats. Sebenarnya semalam aku terkejut kau tido lewat <Wajah Menjulurkan Lidah>
377,"Biasa nya sih ga sampai jam segini, makanya ini terheran heran wkwk 😛",netral,"Biasa nya sih ga sampai jam segini, makanya ini terheran heran wkwk <Wajah Menjulurkan Lidah>"
378,Dah penat jadi pandai latu 😛,netral,Dah penat jadi pandai latu <Wajah Menjulurkan Lidah>
379,"mingkem nih manusia klu yg radikal non muslim,klu di serang balik pasti mulut baunya akan menghujat org2 islam...ada apa dgn islam sehingga si mahfud benci bgt,hanya karna duit? 😠💣💔",negatif,"mingkem nih manusia klu yg radikal non muslim,klu di serang balik pasti mulut baunya akan menghujat org2 islam...ada apa dgn islam sehingga si mahfud benci bgt,hanya karna duit? <Wajah Marah><Bom><Hati Patah>"
380,"sama cuy wkwkwkw, nnti diblg apaansi najis jijik bgt 😛",negatif,"sama cuy wkwkwkw, nnti diblg apaansi najis jijik bgt <Wajah Menjulurkan Lidah>"
381,Kok urang tersinggung yah 😛,netral,Kok urang tersinggung yah <Wajah Menjulurkan Lidah>
382,Terpesona Aura Magis Hutan De Djawatan 😘,positif,Terpesona Aura Magis Hutan De Djawatan <Wajah Meniup Ciuman>
383,Kalo dipikir pikir masih terpesona banget sama outfitnya iu di hotel deluna 😛,netral,Kalo dipikir pikir masih terpesona banget sama outfitnya iu di hotel deluna <Wajah Menjulurkan Lidah>
384,"jago buat kata kata menel, biar kamu terpesona~ WKWKWKWKWK aduh jd geli sendiri 😛",netral,"jago buat kata kata menel, biar kamu terpesona~ WKWKWKWKWK aduh jd geli sendiri <Wajah Menjulurkan Lidah>"
385,Gue masih ga lupa muka anak2 sma gue dan kenyamanan gue disana wkwk senang banget alam bawah sadar ku masih ingat 😄,positif,Gue masih ga lupa muka anak2 sma gue dan kenyamanan gue disana wkwk senang banget alam bawah sadar ku masih ingat <Wajah Tersenyum Mulut Terbuka Dan Mata Tersenyum>
386,"Kalian risih ga sih, chtingan sama org yang typo mulu? 😛",netral,"Kalian risih ga sih, chtingan sama org yang typo mulu? <Wajah Menjulurkan Lidah>"
387,"// pernah bgt, ditinggal 6 bulan gaada kabar... Tp syukur dia gpp XD adenya ngabarin. 😛",netral,"// pernah bgt, ditinggal 6 bulan gaada kabar... Tp syukur dia gpp XD adenya ngabarin. <Wajah Menjulurkan Lidah>"
388,Gw keplak palanya...jan salahkan kalo jiwa emak2 gw bangkit wkwkwkk 😛 dan satu lagi gw tyda ada masalah kalo ada mutual2 gw yg benci wlm....itu hak org masing2...selama ga kelewat batas yah gapapa hahhaah...yowes udh waktunya tidur...goodnight,netral,Gw keplak palanya...jan salahkan kalo jiwa emak2 gw bangkit wkwkwkk <Wajah Menjulurkan Lidah> dan satu lagi gw tyda ada masalah kalo ada mutual2 gw yg benci wlm....itu hak org masing2...selama ga kelewat batas yah gapapa hahhaah...yowes udh waktunya tidur...goodnight
389,"Aku kaget, dan hampir nangis karena sedih. Tiba saja bayanganku aku akan dipisahkan dari keluarga sementara 💔",negatif,"Aku kaget, dan hampir nangis karena sedih. Tiba saja bayanganku aku akan dipisahkan dari keluarga sementara <Hati Patah>"
390,"Iyah nih kesal 😠 Padahal kan drimketcer lagu buat bobo, kenapa yang bikin ngantuknya from me tu yu?",negatif,"Iyah nih kesal <Wajah Marah> Padahal kan drimketcer lagu buat bobo, kenapa yang bikin ngantuknya from me tu yu?"
391,nonton kak nnti otomatis mrasa kesal 😛 aww,netral,nonton kak nnti otomatis mrasa kesal <Wajah Menjulurkan Lidah> aww
392,selama jungkir balik di dunia kpop. baru kali ini gue terpesona liat cewek korea. 😛,netral,selama jungkir balik di dunia kpop. baru kali ini gue terpesona liat cewek korea. <Wajah Menjulurkan Lidah>
393,Orang cuti berat makin naik but not me hahahaha 😛 doc also terkejut cause berat turun,netral,Orang cuti berat makin naik but not me hahahaha <Wajah Menjulurkan Lidah> doc also terkejut cause berat turun
394,aku jijik 😛,negatif,aku jijik <Wajah Menjulurkan Lidah>
395,"Abis gue tutup teleponnya, doi nanya: siapa? Pacar lo ya? Gue: bbbukan kok bukan! Doi: gugup bgt sih. Yaudah w pamit. Trus doi pulang. Udah deh w ambyar. Kata adek w sih gue nangis terus2an. 😔",negatif,"Abis gue tutup teleponnya, doi nanya: siapa? Pacar lo ya? Gue: bbbukan kok bukan! Doi: gugup bgt sih. Yaudah w pamit. Trus doi pulang. Udah deh w ambyar. Kata adek w sih gue nangis terus2an. <Wajah Termenung Sedih>"
396,Haihlaaaa penat aku mcm ni 😛,negatif,Haihlaaaa penat aku mcm ni <Wajah Menjulurkan Lidah>
397,Semoga yang berjualan dan para pembeli di berikan murka oleh sang pencipta . Amin 😠,negatif,Semoga yang berjualan dan para pembeli di berikan murka oleh sang pencipta . Amin <Wajah Marah>
398,aku mmg plan nak drive tp takut kakak aku nk ikut gi kl. so tgh dilemma nak naik bas ke nk drive hahaha aku stay kmns. dia ada bukak utk alumni 😛,netral,aku mmg plan nak drive tp takut kakak aku nk ikut gi kl. so tgh dilemma nak naik bas ke nk drive hahaha aku stay kmns. dia ada bukak utk alumni <Wajah Menjulurkan Lidah>
399,Dinda Marahlah jika kau ingin marah 😠 Tapi jangan sekali kali kau berbohong 🐞 Karena kebohongan akan mengundang kelicikan Dan menumbuhkan rasa takut dalam dirimu Dinda Tak perlu kau tersenyum 😔 Karena senyummu akan mematahkan hati 💔 Dan menyakiti jutaan pria Jaga hatimu DINDA,negatif,Dinda Marahlah jika kau ingin marah <Wajah Marah> Tapi jangan sekali kali kau berbohong 🐞 Karena kebohongan akan mengundang kelicikan Dan menumbuhkan rasa takut dalam dirimu Dinda Tak perlu kau tersenyum <Wajah Termenung Sedih> Karena senyummu akan mematahkan hati <Hati Patah> Dan menyakiti jutaan pria Jaga hatimu DINDA
400,Tanpa sadar kisah ini telah lama berakhir. Aktingnya bagus. Aku tertipu. 😛,negatif,Tanpa sadar kisah ini telah lama berakhir. Aktingnya bagus. Aku tertipu. <Wajah Menjulurkan Lidah>
401,"Masih untung dosen doang, aku murka sama kampusnya 😠",negatif,"Masih untung dosen doang, aku murka sama kampusnya <Wajah Marah>"
402,"Benci bat kalo udh gajian, orang2 nanyanya gak manusiawi. Org masih pules masih aja di spamming. 😠💣💔",negatif,"Benci bat kalo udh gajian, orang2 nanyanya gak manusiawi. Org masih pules masih aja di spamming. <Wajah Marah><Bom><Hati Patah>"
403,Goodluck sidang hari ini 🙌 Jangan lupa berdoa dan jangan dibawa gugup!! Semangat^^,positif,Goodluck sidang hari ini <Mengangkat Kedua Tangan> Jangan lupa berdoa dan jangan dibawa gugup!! Semangat^^
404,Mana mukany ba*i kali... Kok jijik ya lihatny.. 😛,negatif,Mana mukany ba*i kali... Kok jijik ya lihatny.. <Wajah Menjulurkan Lidah>
405,semenjak kuarantin ni terkejut tengok selepar dah berubah 🤯 terpaksa pakai jer lah dah segaut nak berbeli barang,negatif,semenjak kuarantin ni terkejut tengok selepar dah berubah 🤯 terpaksa pakai jer lah dah segaut nak berbeli barang
406,"Sekarang apa2 mahal apalagi Omnimbus law mau disahkan 🤯 yang ruga adalah Pekerja yg gajinya Pas2an ini akan membuat Rakyat sengsara 🤔, Mana Janjinya tiga Kartu saktinya hanya OMDO 🤬, hati2 nanti puluhan juta Rakyat Menuntut di Akherat kalau janji tidak dipenuhi 💔",negatif,"Sekarang apa2 mahal apalagi Omnimbus law mau disahkan 🤯 yang ruga adalah Pekerja yg gajinya Pas2an ini akan membuat Rakyat sengsara <Wajah Berpikir>, Mana Janjinya tiga Kartu saktinya hanya OMDO 🤬, hati2 nanti puluhan juta Rakyat Menuntut di Akherat kalau janji tidak dipenuhi <Hati Patah>"
407,Wkwkwk mun kajadian jiga di film na pisan ngeri oge 😛,netral,Wkwkwk mun kajadian jiga di film na pisan ngeri oge <Wajah Menjulurkan Lidah>
408,Ngomong dong kalo tersinggung. Tetiba ngetwit gini kan aku jd semakin ingin menghujat 😠,negatif,Ngomong dong kalo tersinggung. Tetiba ngetwit gini kan aku jd semakin ingin menghujat <Wajah Marah>
409,Bangga lu tadz 😛,netral,Bangga lu tadz <Wajah Menjulurkan Lidah>
410,sape cakap kv tu jijik meh aku bantai dia 😠,negatif,sape cakap kv tu jijik meh aku bantai dia <Wajah Marah>
411,Muak juga sih 😛,negatif,Muak juga sih <Wajah Menjulurkan Lidah>
412,risih. kunci aja wa lo kalo ditanya kenapa bilang aja 'gue juga punya privasi mon maap' 😠,negatif,risih. kunci aja wa lo kalo ditanya kenapa bilang aja 'gue juga punya privasi mon maap' <Wajah Marah>
413,Sorry kalau mcm aku je yg over pasal benda ni. Tapi den terkejut yoo bila dia cakap mcm tu. 😕 Sekian luahan hati dipagi hari,netral,Sorry kalau mcm aku je yg over pasal benda ni. Tapi den terkejut yoo bila dia cakap mcm tu. <Wajah Bingung> Sekian luahan hati dipagi hari
414,dah boleh cari dan makan puas-puas ni 😛,netral,dah boleh cari dan makan puas-puas ni <Wajah Menjulurkan Lidah>
415,"Dengan segera Naya mengendalikan dirinya, ""ih apaan sih kak naya gak salting tauuuu"" rengeknya menutupi rasa gugup yang melanda akibat perlakuan sang wira di depannya. 😛",netral,"Dengan segera Naya mengendalikan dirinya, ""ih apaan sih kak naya gak salting tauuuu"" rengeknya menutupi rasa gugup yang melanda akibat perlakuan sang wira di depannya. <Wajah Menjulurkan Lidah>"
416,Kel halu dgn tngkat narcistik % 😠 Kesalahan ms lalu ga bole di proses Demi kehormatan Bngsa Perfect image hrs ttp trjaga Wajib di hrgai & di hormati Untouchable Rkyat akan kecewa klo pujaannya di tuduh mcm2 Dst-nya Maennn sandiwaraa ajah tross ye!,negatif,Kel halu dgn tngkat narcistik % <Wajah Marah> Kesalahan ms lalu ga bole di proses Demi kehormatan Bngsa Perfect image hrs ttp trjaga Wajib di hrgai & di hormati Untouchable Rkyat akan kecewa klo pujaannya di tuduh mcm2 Dst-nya Maennn sandiwaraa ajah tross ye!
417,jijik gausah sok deket sm Shaheer! Jadi cewek kok GENIT banget sih! MURAHAN ayutingtingnew 😠💣💔,negatif,jijik gausah sok deket sm Shaheer! Jadi cewek kok GENIT banget sih! MURAHAN ayutingtingnew <Wajah Marah><Bom><Hati Patah>
418,kamu tu kenapa sih suka bikin aku kesal tapi bisa bikin aku senang lagi dengan cepat ha aku bingung deh 😕,netral,kamu tu kenapa sih suka bikin aku kesal tapi bisa bikin aku senang lagi dengan cepat ha aku bingung deh <Wajah Bingung>
419,"Alhamdulillah getting better dah, tak ada demam lagi Dah 2 hari 📺 & chill, penat baring je hahaha 😄",positif,"Alhamdulillah getting better dah, tak ada demam lagi Dah 2 hari 📺 & chill, penat baring je hahaha <Wajah Tersenyum Mulut Terbuka Dan Mata Tersenyum>"
