komentar,komentar_with_tags,sentimen llm
menu andalanku di warteg 😁👍,menu andalanku di warteg <Wajah Menyeringai Dengan Mata Tersenyum><Jempol Ke Atas>,negatif
Benar2 menu yang sangat nikmat luar biasa Kk 👍👍👍👍,Benar2 menu yang sangat nikmat luar biasa Kk <Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>,negatif
Olahan tahu nya lezat sekali kak ❤,Olahan tahu nya lezat sekali kak <Hati Merah>,negatif
Enak sekali kelihatannya. Mantul nih buat menu besok 😊,Enak sekali kelihatannya. Mantul nih buat menu besok <Wajah Tersenyum Dengan Mata Tersenyum>,negatif
Olahan tahu yg sangat enak bund makasi resepnya ya 👍🏻🙏🏻,Olahan tahu yg sangat enak bund makasi resepnya ya <Jempol Ke Atas>🏻<Tangan Merapat Berdoa>🏻,negatif
Sederhaa bikin lapeeer….👍👍👍,Sederhaa bikin lapeeer….<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>,negatif
Enak ya bunda bikin gak bosen nyimak bunda❤❤❤,Enak ya bunda bikin gak bosen nyimak bunda<Hati Merah><Hati Merah><Hati Merah>,negatif
Mantap ka yummy 🤤,Mantap ka yummy <Wajah Mengiler>,negatif
Trimakasih buat resep olahan tahunya 👍🤗 looks so tasty 😋😋😋,Trimakasih buat resep olahan tahunya <Jempol Ke Atas><Wajah Memeluk> looks so tasty <Wajah Menikmati Makanan Lezat><Wajah Menikmati Makanan Lezat><Wajah Menikmati Makanan Lezat>,negatif
Menu rumahan yang tak pernah bosan untuk memasaknya selamat beraktifitas semoga sukses selalu 💪🏼,Menu rumahan yang tak pernah bosan untuk memasaknya selamat beraktifitas semoga sukses selalu <Otot Lengan Kuat>🏼,negatif
Wonderful recipe and presentation. Best wishes to you 🦇 😋 👍,Wonderful recipe and presentation. Best wishes to you 🦇 <Wajah Menikmati Makanan Lezat> <Jempol Ke Atas>,negatif
WOW ❤❤ nice sharing tasty recipe ❤❤❤I m your new subscriber ❤❤❤,WOW <Hati Merah><Hati Merah> nice sharing tasty recipe <Hati Merah><Hati Merah><Hati Merah>I m your new subscriber <Hati Merah><Hati Merah><Hati Merah>,netral
"Mantab banget olahan tahu seperti ini, cocok banget buat masak simple sehari-hari 😋👍","Mantab banget olahan tahu seperti ini, cocok banget buat masak simple sehari-hari <Wajah Menikmati Makanan Lezat><Jempol Ke Atas>",negatif
Olahan tahu yg enak dan mantul bun ❤,Olahan tahu yg enak dan mantul bun <Hati Merah>,negatif
Olahan tahu yg enak sekali Bun 👍👍,Olahan tahu yg enak sekali Bun <Jempol Ke Atas><Jempol Ke Atas>,negatif
Mantap resepnya... Sukses selalu. Terima kasih sudah berbagi😊,Mantap resepnya... Sukses selalu. Terima kasih sudah berbagi<Wajah Tersenyum Dengan Mata Tersenyum>,negatif
sedap bun olahan tahunya🤗,sedap bun olahan tahunya<Wajah Memeluk>,negatif
Makasih resep y bunda 👍,Makasih resep y bunda <Jempol Ke Atas>,negatif
"Kok lain dengan gambar, kayak pake santan itu😮","Kok lain dengan gambar, kayak pake santan itu<Wajah Terperangah Terbuka>",positif
Seharusnya kepala ikan 🐟 di buang Bun ❤,Seharusnya kepala ikan 🐟 di buang Bun <Hati Merah>,positif
Ow..🤤 sedap nie kalau makan,Ow..<Wajah Mengiler> sedap nie kalau makan,negatif
Pas ini resepnya sesuai selera saya. Ga pake gula gula an. Pasti orang padang yaa  😂,Pas ini resepnya sesuai selera saya. Ga pake gula gula an. Pasti orang padang yaa  <Wajah Menangis Gembira>,negatif
wih enak yah 😊👍👋,wih enak yah <Wajah Tersenyum Dengan Mata Tersenyum><Jempol Ke Atas>👋,negatif
Musikny  minang ❤❤apka mb ny org pdang,Musikny  minang <Hati Merah><Hati Merah>apka mb ny org pdang,negatif
Enak banget 😋😋😋,Enak banget <Wajah Menikmati Makanan Lezat><Wajah Menikmati Makanan Lezat><Wajah Menikmati Makanan Lezat>,negatif
Kok hasil nya gak sama dengan yg di gambar😂,Kok hasil nya gak sama dengan yg di gambar<Wajah Menangis Gembira>,positif
"Tonton sampai habis, yang digambar itu resep yang kedua 😊","Tonton sampai habis, yang digambar itu resep yang kedua <Wajah Tersenyum Dengan Mata Tersenyum>",netral
"Kebiasaan orang nonton video suka di skip,ngga nonton sampai selesai,😢","Kebiasaan orang nonton video suka di skip,ngga nonton sampai selesai,<Wajah Menangis>",positif
22🍊🍋‍🟩🍋‍🟩🍋‍🟩🍋‍🟩😃😃😃😙😙😙😙😙🥲🥲🥹🥹🥕😄😄💛💨💨💨💨🧡💨💦💛💛💛💛💛💛💛💛😂😂❤😂❤❤❤❤❤❤❤❤❤💤♥️♥️♥️♥️♥️♥️♥️♥️👣👣❣️❣️❣️👣👣🗣️🗣️🗣️♥️♥️♥️,22🍊🍋‍🟩🍋‍🟩🍋‍🟩🍋‍🟩<Wajah Tersenyum Dengan Mulut Terbuka><Wajah Tersenyum Dengan Mulut Terbuka><Wajah Tersenyum Dengan Mulut Terbuka><Wajah Mencium Dengan Mata Tersenyum><Wajah Mencium Dengan Mata Tersenyum><Wajah Mencium Dengan Mata Tersenyum><Wajah Mencium Dengan Mata Tersenyum><Wajah Mencium Dengan Mata Tersenyum>🥲🥲🥹🥹🥕<Wajah Tersenyum Mulut Terbuka Dan Mata Tersenyum><Wajah Tersenyum Mulut Terbuka Dan Mata Tersenyum>💛💨💨💨💨🧡💨💦💛💛💛💛💛💛💛💛<Wajah Menangis Gembira><Wajah Menangis Gembira><Hati Merah><Wajah Menangis Gembira><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah>💤♥️♥️♥️♥️♥️♥️♥️♥️👣👣❣️❣️❣️👣👣🗣️🗣️🗣️♥️♥️♥️,negatif
Terimakasih resep masakan nya kakak saya akan mencoba nya ❤,Terimakasih resep masakan nya kakak saya akan mencoba nya <Hati Merah>,negatif
"Mantap resep nya,, mau nyoba masak, mksh,, 👍🙏","Mantap resep nya,, mau nyoba masak, mksh,, <Jempol Ke Atas><Tangan Merapat Berdoa>",negatif
Selera Aku bangett... Aku suka ke pasar' ikan Cue Atau Ikan salem..di Bikin cue' 10.000 4 ekor' pulen Legit ikan cue' di buat Balado 😊 lalap Pete 😊,Selera Aku bangett... Aku suka ke pasar' ikan Cue Atau Ikan salem..di Bikin cue' 10.000 4 ekor' pulen Legit ikan cue' di buat Balado <Wajah Tersenyum Dengan Mata Tersenyum> lalap Pete <Wajah Tersenyum Dengan Mata Tersenyum>,negatif
Mending gak usah pake music 😂😂😂,Mending gak usah pake music <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
Thank you kak😊,Thank you kak<Wajah Tersenyum Dengan Mata Tersenyum>,negatif
"Duh bikin pgn saat d iris aj Uda halu ngilernya Bu,,, plgi saat tomat d iris. Jd 2 resep yg pertama bikin ngiler🤤 krn d tumis sy pling demen tumis plgi ikan asin bu, cm krn dy lg pny bhn sayur kmrn drpd h k mkn dy mo gnt bumbu, drpd mubazir,pst enk ,,walo cm tahu gpp ksh telor bulet pst enk","Duh bikin pgn saat d iris aj Uda halu ngilernya Bu,,, plgi saat tomat d iris. Jd 2 resep yg pertama bikin ngiler<Wajah Mengiler> krn d tumis sy pling demen tumis plgi ikan asin bu, cm krn dy lg pny bhn sayur kmrn drpd h k mkn dy mo gnt bumbu, drpd mubazir,pst enk ,,walo cm tahu gpp ksh telor bulet pst enk",negatif
"Makasih ka resepnya, bikin nafsu makan, cusss langsung coba ☺","Makasih ka resepnya, bikin nafsu makan, cusss langsung coba <Wajah Tersenyum Simpel>",negatif
Iya berisik jd pusing 😢,Iya berisik jd pusing <Wajah Menangis>,positif
 @Yuni-Edi  iyaa kak😁😁, @Yuni-Edi  iyaa kak<Wajah Menyeringai Dengan Mata Tersenyum><Wajah Menyeringai Dengan Mata Tersenyum>,netral
Mantap resepnya bunda... Untuk menu sehari-hari 👍🏻🥰,Mantap resepnya bunda... Untuk menu sehari-hari <Jempol Ke Atas>🏻🥰,negatif
tempe kecap pindah ose g gini emang enak 😊😊,tempe kecap pindah ose g gini emang enak <Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
"Betul banget kak, cocok banget 👍","Betul banget kak, cocok banget <Jempol Ke Atas>",negatif
Mantap.. nambah 2 lagi ide masakan di rumah 🙂,Mantap.. nambah 2 lagi ide masakan di rumah <Wajah Agak Tersenyum>,negatif
"Saya tahu, itu sedap buanget❤ @My-goldbaby","Saya tahu, itu sedap buanget<Hati Merah> @My-goldbaby",negatif
"pindang mya cuma 3 ekor kecil"" lgi. seharus nya pindang agak besaran.   kebanyakan bumbu pindang nya  ketutup sama bumbu 🤣🤣🤣 carilah mba ikan yg ada besaran aplagi ini di video","pindang mya cuma 3 ekor kecil"" lgi. seharus nya pindang agak besaran.   kebanyakan bumbu pindang nya  ketutup sama bumbu <Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal> carilah mba ikan yg ada besaran aplagi ini di video",netral
"Mantaap sekali, jadi keinget masakan ibu di rumah☺☺","Mantaap sekali, jadi keinget masakan ibu di rumah<Wajah Tersenyum Simpel><Wajah Tersenyum Simpel>",negatif
Perasaan yg digamabar ada kuah santannya deh ko ini ngga😌,Perasaan yg digamabar ada kuah santannya deh ko ini ngga<Wajah Lega>,negatif
"Boleh kak, bisa pake asem Jawa atau asem apa aja yang suka 😊","Boleh kak, bisa pake asem Jawa atau asem apa aja yang suka <Wajah Tersenyum Dengan Mata Tersenyum>",netral
"trima kasih resepnya ❤
semangat berkarya bun semoga sukses selalu","trima kasih resepnya <Hati Merah>
semangat berkarya bun semoga sukses selalu",negatif
 @ayuii3569 sama 🙂‍↔️, @ayuii3569 sama <Wajah Agak Tersenyum>‍↔️,netral
Nonton nya sampai abis😊 ...,Nonton nya sampai abis<Wajah Tersenyum Dengan Mata Tersenyum> ...,positif
"Tempenya gk usah digoreng malah enak mbak,e😊","Tempenya gk usah digoreng malah enak mbak,e<Wajah Tersenyum Dengan Mata Tersenyum>",negatif
Selera org masing-masing😊,Selera org masing-masing<Wajah Tersenyum Dengan Mata Tersenyum>,negatif
Mantapnyo....😍,Mantapnyo....<Wajah Tersenyum Dengan Mata Hati>,negatif
Bodoh 😂😂😂😂,Bodoh <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
Mantaf bngt👍👍,Mantaf bngt<Jempol Ke Atas><Jempol Ke Atas>,negatif
"Mantullll,,gass kennn 👍👍👍🥰🥰🥰makasih resepnya","Mantullll,,gass kennn <Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>🥰🥰🥰makasih resepnya",negatif
Selamat mencoba 🤗,Selamat mencoba <Wajah Memeluk>,negatif
Yg resep kedua gk kalah mantulll tu bunda... 😊😊,Yg resep kedua gk kalah mantulll tu bunda... <Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
Nama Nessa sayang cinta semua ii Ka Erick Bangli selamat sekali uang cantik mudah makan air mata kopi susu roti siapa rumah uang akan ya ❤😊,Nama Nessa sayang cinta semua ii Ka Erick Bangli selamat sekali uang cantik mudah makan air mata kopi susu roti siapa rumah uang akan ya <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
nessa sudah makan siang? ❤😊,nessa sudah makan siang? <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,netral
Ka Erick Bangli Nessa sayang cinta ❤😊,Ka Erick Bangli Nessa sayang cinta <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
Kakek mudah cantik Nessa sayang cinta Selamat Happy HBD 🎂🎁🎉Ulang tahun memberikan sekolah ❤😊,Kakek mudah cantik Nessa sayang cinta Selamat Happy HBD 🎂<Kado Hadiah>🎉Ulang tahun memberikan sekolah <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
HBD Birthday Ulang tahun uang ya i memberikan kue 🍰🎂🎁🎉uang i sekali cantik ❤😊,HBD Birthday Ulang tahun uang ya i memberikan kue 🍰🎂<Kado Hadiah>🎉uang i sekali cantik <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
siapa sekali sekolah RUMAH HANES ❤😊,siapa sekali sekolah RUMAH HANES <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,positif
Ka Erick Bangli Nessa sayang cinta ❤😊makan air mata kopi sekali ya cantik mudah semua siapa rumah i uang akan kembar RUMAH HANES ❤😊,Ka Erick Bangli Nessa sayang cinta <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>makan air mata kopi sekali ya cantik mudah semua siapa rumah i uang akan kembar RUMAH HANES <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
memberikan selamat Happy uang Birthday Ulang tahun 🎂🎁🎉uang Kakek Nessa sayang cinta mudah sekali cantik malam hari selamat ❤😊,memberikan selamat Happy uang Birthday Ulang tahun 🎂<Kado Hadiah>🎉uang Kakek Nessa sayang cinta mudah sekali cantik malam hari selamat <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
memberikan selamat Happy uang Birthday Ulang tahun 🎂🎁🎉uang Ka Erick Bangli Nessa sayang cinta Kakek mudah sekali cantik malam hari  ❤😊,memberikan selamat Happy uang Birthday Ulang tahun 🎂<Kado Hadiah>🎉uang Ka Erick Bangli Nessa sayang cinta Kakek mudah sekali cantik malam hari  <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
memberikan selamat Happy uang Birthday Ulang tahun 🎂🎁🎉uang Ka Erick Bangli Nessa sayang cinta Kakek mudah sekali cantik malam hari ❤😊,memberikan selamat Happy uang Birthday Ulang tahun 🎂<Kado Hadiah>🎉uang Ka Erick Bangli Nessa sayang cinta Kakek mudah sekali cantik malam hari <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
HBD Birthday selamat Ulang tahun 🎂🎁🎉memberikan Happy uang ❤😊kue uang akan kembar uang akan mengikuti seperti batu karang ❤😊,HBD Birthday selamat Ulang tahun 🎂<Kado Hadiah>🎉memberikan Happy uang <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>kue uang akan kembar uang akan mengikuti seperti batu karang <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,netral
Makan Ayam goreng lkan bebek sapi kambing hampir Babi besok siapa rumah Besok Nenek kakak udah sayang cantik sekali ya atas ❤😊,Makan Ayam goreng lkan bebek sapi kambing hampir Babi besok siapa rumah Besok Nenek kakak udah sayang cantik sekali ya atas <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
malam makan ayam goreng lkan bebek sapi kambing hampir Babi besok Besok siapa rumah uang ayi sekali cantik mudah sekarang ini ya ❤😊,malam makan ayam goreng lkan bebek sapi kambing hampir Babi besok Besok siapa rumah uang ayi sekali cantik mudah sekarang ini ya <Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,positif
Izin share bun😊,Izin share bun<Wajah Tersenyum Dengan Mata Tersenyum>,netral
Nonton agustus 2025....lumayan buat masak2 ayam...😊,Nonton agustus 2025....lumayan buat masak2 ayam...<Wajah Tersenyum Dengan Mata Tersenyum>,negatif
Ini di buat selama 9 hri..skalian admin nya masak setiap hari satu menu buat makan  😂,Ini di buat selama 9 hri..skalian admin nya masak setiap hari satu menu buat makan  <Wajah Menangis Gembira>,netral
Aq suka dengan resep masaknny...tanpa bnyak ngomng tpi mudah d ikuti❤❤,Aq suka dengan resep masaknny...tanpa bnyak ngomng tpi mudah d ikuti<Hati Merah><Hati Merah>,negatif
Asiikkk....Nyimak mau coba resep nya🙏 sharingnya,Asiikkk....Nyimak mau coba resep nya<Tangan Merapat Berdoa> sharingnya,netral
Terimakasih resep nya..masih belajar masak nemu resep yg simpel2 gini❤❤,Terimakasih resep nya..masih belajar masak nemu resep yg simpel2 gini<Hati Merah><Hati Merah>,negatif
Kalo ditempat saya itu namanya ayam masak kuning..mantaaapp itu 😊,Kalo ditempat saya itu namanya ayam masak kuning..mantaaapp itu <Wajah Tersenyum Dengan Mata Tersenyum>,negatif
Makasih mba Tri selalu menginspirasi saya untuk masak besok pagi😁😊,Makasih mba Tri selalu menginspirasi saya untuk masak besok pagi<Wajah Menyeringai Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
Enak banget menu ❤,Enak banget menu <Hati Merah>,negatif
Ayam di masak apapun tetep enak memang 👍,Ayam di masak apapun tetep enak memang <Jempol Ke Atas>,negatif
"Hemm nyamiiii...😋😋
Aku tugu resep nya kk...🙏👍🤗","Hemm nyamiiii...<Wajah Menikmati Makanan Lezat><Wajah Menikmati Makanan Lezat>
Aku tugu resep nya kk...<Tangan Merapat Berdoa><Jempol Ke Atas><Wajah Memeluk>",negatif
"Ka, kalau punya account YouTube yang mau di jual tolong kabarin ya 🙏🙏🙏","Ka, kalau punya account YouTube yang mau di jual tolong kabarin ya <Tangan Merapat Berdoa><Tangan Merapat Berdoa><Tangan Merapat Berdoa>",netral
"Terimakasih resepnya, simpel dan enak🙏","Terimakasih resepnya, simpel dan enak<Tangan Merapat Berdoa>",negatif
Mksh ya Bun.... untuk resepnya.... sepertinya enak semua....🙏👍❤️,Mksh ya Bun.... untuk resepnya.... sepertinya enak semua....<Tangan Merapat Berdoa><Jempol Ke Atas><Hati Merah>️,negatif
Enak banget ya 👍,Enak banget ya <Jempol Ke Atas>,negatif
"Tahu hargax 10 rb 😅 ,klau dibpn semua mahal klau dijawa lumayan terjangko....
❤👍💐🌸🦚  ...mksh bu risna resep2x sy senang mengikutin cara cocok sm sy 👍👍","Tahu hargax 10 rb <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin> ,klau dibpn semua mahal klau dijawa lumayan terjangko....
<Hati Merah><Jempol Ke Atas><Buket Bunga>🌸🦚  ...mksh bu risna resep2x sy senang mengikutin cara cocok sm sy <Jempol Ke Atas><Jempol Ke Atas>",negatif
ini resep harus di coba sih🐡 ⋆ 🐠  🎀  𝒜𝑅𝒲𝒜𝒩𝒜𝒯♡𝒯💞  🎀  🐠 ⋆ 🐡,ini resep harus di coba sih🐡 ⋆ 🐠  <Pita>  𝒜𝑅𝒲𝒜𝒩𝒜𝒯♡𝒯<Hati Berputar>  <Pita>  🐠 ⋆ 🐡,netral
Konten seperti ini yg saya suka❤ makasih resepnya bun😊 ditunggu resep selanjutnya 😁,Konten seperti ini yg saya suka<Hati Merah> makasih resepnya bun<Wajah Tersenyum Dengan Mata Tersenyum> ditunggu resep selanjutnya <Wajah Menyeringai Dengan Mata Tersenyum>,netral
"Ya selera, maaf kalau komen usahakan jgn ada kata2 harusnya😊,itu seperti memaksakan,jd masakan itu selera mau kuah sampai asat/nyemek ,kembali ke selera..trimakasih","Ya selera, maaf kalau komen usahakan jgn ada kata2 harusnya<Wajah Tersenyum Dengan Mata Tersenyum>,itu seperti memaksakan,jd masakan itu selera mau kuah sampai asat/nyemek ,kembali ke selera..trimakasih",netral
😮😂😅😅😅 aku kami iya,<Wajah Terperangah Terbuka><Wajah Menangis Gembira><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin> aku kami iya,netral
Terus berkarya ya! 💪,Terus berkarya ya! <Otot Lengan Kuat>,negatif
Semua masakanya kelihatan enak👍👍 terima kasih resepnya bun..,Semua masakanya kelihatan enak<Jempol Ke Atas><Jempol Ke Atas> terima kasih resepnya bun..,negatif
Menu menu nya mantap bisa ngabisin nasi sebakul..mksh resep nya🙏🙏,Menu menu nya mantap bisa ngabisin nasi sebakul..mksh resep nya<Tangan Merapat Berdoa><Tangan Merapat Berdoa>,negatif
"Makasih resep-resepnya bun, semoga rezekinya lancar terus💪","Makasih resep-resepnya bun, semoga rezekinya lancar terus<Otot Lengan Kuat>",negatif
Resepnya enak enak semua bund.. Auto recook minggu depan ❤,Resepnya enak enak semua bund.. Auto recook minggu depan <Hati Merah>,negatif
"Wow verey""yummmy❤❤❤❤","Wow verey""yummmy<Hati Merah><Hati Merah><Hati Merah><Hati Merah>",negatif
Terima kasih menu nya. Ibu 🙏🏻🥰,Terima kasih menu nya. Ibu <Tangan Merapat Berdoa>🏻🥰,negatif
"Aneka resep masakan yg menginspirasi memasak setiap hari, lezat semuanya, mantab bngt semuanya 👍🏻😍🤩","Aneka resep masakan yg menginspirasi memasak setiap hari, lezat semuanya, mantab bngt semuanya <Jempol Ke Atas>🏻<Wajah Tersenyum Dengan Mata Hati>🤩",negatif
Makasih bunda semua resep nyaa enak banget sangat menginpirasi 🙏,Makasih bunda semua resep nyaa enak banget sangat menginpirasi <Tangan Merapat Berdoa>,negatif
"Pas banget nih untuk Menu satu Minggu, enak2 semua bund masakan nya 😋","Pas banget nih untuk Menu satu Minggu, enak2 semua bund masakan nya <Wajah Menikmati Makanan Lezat>",negatif
Hawuk BHS indo nya burik😂,Hawuk BHS indo nya burik<Wajah Menangis Gembira>,netral
Kue bagian luarnya seperti ada yang masih mentah? Soalnya adukan ga pake air. 🙏,Kue bagian luarnya seperti ada yang masih mentah? Soalnya adukan ga pake air. <Tangan Merapat Berdoa>,netral
​ @evanivalencia8937 saya yg pake air santan aja ga jadi 😢 apa lagi ga pake air,​ @evanivalencia8937 saya yg pake air santan aja ga jadi <Wajah Menangis> apa lagi ga pake air,netral
"Kue putu tidak menangis ,ci...🤣😂.soal nya yg biasa kan pake motor ada suara bising kek bayi menangis..nama nya putu menangis 😁","Kue putu tidak menangis ,ci...<Tertawa Terpingkal-Pingkal><Wajah Menangis Gembira>.soal nya yg biasa kan pake motor ada suara bising kek bayi menangis..nama nya putu menangis <Wajah Menyeringai Dengan Mata Tersenyum>",positif
 @Aditia-tm4cz  namanya lucu jg ya 😅🥹, @Aditia-tm4cz  namanya lucu jg ya <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>🥹,negatif
Ditempatku disebut iwel iwel...🙏😁,Ditempatku disebut iwel iwel...<Tangan Merapat Berdoa><Wajah Menyeringai Dengan Mata Tersenyum>,netral
Aduh alias martabak Sunda😅,Aduh alias martabak Sunda<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,positif
Ghebux.... ❤👍😊🙏,Ghebux.... <Hati Merah><Jempol Ke Atas><Wajah Tersenyum Dengan Mata Tersenyum><Tangan Merapat Berdoa>,positif
Sempora tepung ketan namanya😊😊😊,Sempora tepung ketan namanya<Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>,netral
Itu klo dibungkusi kecil dgn daun pisang namanya iwel2 kue wajib utk nujuh bulanan bayi / tedak siten / turun tanah 😂,Itu klo dibungkusi kecil dgn daun pisang namanya iwel2 kue wajib utk nujuh bulanan bayi / tedak siten / turun tanah <Wajah Menangis Gembira>,netral
Klo d tempat tinggal sy  d Medan d sebut SENGKULUN..tp krn sy Sunda sy bilang nya DODONGKAL..suami sy Jawa bilang nya AWUG..macam2 nama nya...unik2 😊,Klo d tempat tinggal sy  d Medan d sebut SENGKULUN..tp krn sy Sunda sy bilang nya DODONGKAL..suami sy Jawa bilang nya AWUG..macam2 nama nya...unik2 <Wajah Tersenyum Dengan Mata Tersenyum>,negatif
​ @zaf-li54 betul KLO di jakarta 😅kita tau nya putu warna hijau dari air adonan (sari pandan),​ @zaf-li54 betul KLO di jakarta <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>kita tau nya putu warna hijau dari air adonan (sari pandan),netral
 @citrasinaga2700  😘, @citrasinaga2700  <Wajah Meniup Ciuman>,netral
Ini Nm ny  KUWEH SENGKULUN 🤤🤤,Ini Nm ny  KUWEH SENGKULUN <Wajah Mengiler><Wajah Mengiler>,positif
Ada yg menyebut ini kue awuk awuk tp beda ny di bungkus pke daun pisang dn Kl org jowo nyebutnya Iwel iwel😅,Ada yg menyebut ini kue awuk awuk tp beda ny di bungkus pke daun pisang dn Kl org jowo nyebutnya Iwel iwel<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,netral
Mirip kue putu ya❤,Mirip kue putu ya<Hati Merah>,negatif
"Banyak yg nyoba gagal, ya nending pada dislike aja..
Gak usah banyak protes..
😂😂😂😂😂😂😂😂😂😂😂😂","Banyak yg nyoba gagal, ya nending pada dislike aja..
Gak usah banyak protes..
<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>",positif
"Aku nyoba gagal masih berasa tepung,,,mungkin kebanyakan tepung dan harusnya di kasih air,,,mana sudah lama banget ngukusnya,,akhirnya aku kasih air,,entah jadi kue apa namanya,,😂😂yang penting mateng","Aku nyoba gagal masih berasa tepung,,,mungkin kebanyakan tepung dan harusnya di kasih air,,,mana sudah lama banget ngukusnya,,akhirnya aku kasih air,,entah jadi kue apa namanya,,<Wajah Menangis Gembira><Wajah Menangis Gembira>yang penting mateng",positif
"Tmpat ku ini namanya kue putu ternyata gmpang buatnya .,..akan saya coba👍👍😘😘❤❤❤","Tmpat ku ini namanya kue putu ternyata gmpang buatnya .,..akan saya coba<Jempol Ke Atas><Jempol Ke Atas><Wajah Meniup Ciuman><Wajah Meniup Ciuman><Hati Merah><Hati Merah><Hati Merah>",negatif
❤❤❤ seperti iwelx  ueenak lhoo 🙏👍❤,<Hati Merah><Hati Merah><Hati Merah> seperti iwelx  ueenak lhoo <Tangan Merapat Berdoa><Jempol Ke Atas><Hati Merah>,negatif
"Ini kue masa kecil saya, alhmh. Ibu saya tiap hari minggu bikin kue sengkulun, dikasih warna merah yg atas, bawahnya  putih👍👍👏👏","Ini kue masa kecil saya, alhmh. Ibu saya tiap hari minggu bikin kue sengkulun, dikasih warna merah yg atas, bawahnya  putih<Jempol Ke Atas><Jempol Ke Atas><Tepuk Tangan><Tepuk Tangan>",netral
"Sama dg putu ,,di tempatku namanya Randa kirab😂","Sama dg putu ,,di tempatku namanya Randa kirab<Wajah Menangis Gembira>",netral
"Kasih daun pandan yg dipotong potong,,atasnya taruh sdkt gula jg❤","Kasih daun pandan yg dipotong potong,,atasnya taruh sdkt gula jg<Hati Merah>",netral
"Tips memasak kue ya agar matang sempurna,ketika memasak uap jangan sampai keluar agar masak dan rata..☝️👍💪","Tips memasak kue ya agar matang sempurna,ketika memasak uap jangan sampai keluar agar masak dan rata..☝️<Jempol Ke Atas><Otot Lengan Kuat>",netral
"Kue ini saya sudah coba dengan Resep yang sama , sangat enak apa lagi ditemani kopi manis, Mantap pokoknya👍👍👍","Kue ini saya sudah coba dengan Resep yang sama , sangat enak apa lagi ditemani kopi manis, Mantap pokoknya<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>",negatif
Jangan lupa sambil minum kopi atau teh hangat 👍💪❤,Jangan lupa sambil minum kopi atau teh hangat <Jempol Ke Atas><Otot Lengan Kuat><Hati Merah>,netral
Klu di malaysia namanya putu bambu atau putu piring.    😊,Klu di malaysia namanya putu bambu atau putu piring.    <Wajah Tersenyum Dengan Mata Tersenyum>,netral
Itu rasa seperti kue putu😅,Itu rasa seperti kue putu<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,netral
